,ingresos,jefe_hogar,sexo,edad,estado_civil,escolaridad,time_traba,tipo_traba,horas_traba,sub_alimenta,sub_transpor,sub_fami,sub_edu,horastraba
756,-128,1,0,66,0,11,72,4,48,0,0,0,0,48
757,-128,0,1,29,0,16,72,4,48,0,0,0,0,48
758,64,1,1,32,1,11,60,4,60,0,0,0,0,60
759,32,1,1,32,1,11,12,4,30,0,0,0,0,30
760,-128,1,1,32,1,11,6,1,48,2,2,2,2,48
761,64,0,0,27,1,13,60,4,60,0,0,0,0,60
762,32,0,0,27,1,13,12,4,30,0,0,0,0,30
763,-128,0,0,27,1,13,6,1,48,2,2,2,2,48
764,64,0,1,57,0,11,60,4,60,0,0,0,0,60
765,32,0,1,57,0,11,12,4,30,0,0,0,0,30
766,-128,0,1,57,0,11,6,1,48,2,2,2,2,48
767,64,0,1,33,0,11,60,4,60,0,0,0,0,60
768,32,0,1,33,0,11,12,4,30,0,0,0,0,30
769,-128,0,1,33,0,11,6,1,48,2,2,2,2,48
770,-18,1,1,50,1,10,-16,1,48,2,1,2,2,48
771,-18,0,0,46,1,14,-16,1,48,2,1,2,2,48
772,-18,0,1,19,0,12,-16,1,48,2,1,2,2,48
773,-128,1,0,50,0,16,12,2,30,2,2,2,2,30
774,-18,1,0,50,0,16,3,4,48,0,0,0,0,48
775,40,1,0,50,0,16,6,1,40,2,2,2,2,40
776,-128,0,0,26,0,13,12,2,30,2,2,2,2,30
777,-18,0,0,26,0,13,3,4,48,0,0,0,0,48
778,40,0,0,26,0,13,6,1,40,2,2,2,2,40
779,64,1,1,54,1,3,48,4,50,0,0,0,0,50
780,64,0,0,53,1,5,48,4,50,0,0,0,0,50
781,64,0,1,30,0,14,48,4,50,0,0,0,0,50
782,-64,1,1,40,1,17,9,1,48,2,2,1,2,48
783,-18,1,1,40,1,17,3,1,48,2,1,1,2,48
784,-64,0,0,36,1,11,9,1,48,2,2,1,2,48
785,-18,0,0,36,1,11,3,1,48,2,1,1,2,48
786,-16,1,0,47,1,8,120,4,49,0,0,0,0,49
787,-16,0,1,45,1,3,120,4,49,0,0,0,0,49
788,-96,1,1,59,1,11,-116,1,48,2,1,2,2,48
789,-96,0,0,58,1,11,-116,1,48,2,1,2,2,48
790,-96,1,1,52,0,11,68,1,48,2,1,2,2,48
791,-96,0,1,25,0,13,68,1,48,2,1,2,2,48
792,64,1,0,62,1,7,-104,1,48,2,2,2,2,48
793,64,0,1,56,1,11,-104,1,48,2,2,2,2,48
794,64,0,1,26,0,15,-104,1,48,2,2,2,2,48
795,-96,1,1,47,1,11,28,1,50,2,2,2,2,50
796,-96,0,0,46,1,8,28,1,50,2,2,2,2,50
797,-96,0,0,25,0,16,28,1,50,2,2,2,2,50
798,-96,0,1,19,0,11,28,1,50,2,2,2,2,50
799,0,1,1,40,0,16,72,1,48,2,2,2,2,48
800,-128,1,0,51,0,11,-76,4,48,0,0,0,0,48
801,-32,1,0,51,0,11,-76,4,50,0,0,0,0,50
802,-64,1,0,51,0,11,12,4,40,0,0,0,0,40
803,-128,0,0,31,0,11,-76,4,48,0,0,0,0,48
804,-32,0,0,31,0,11,-76,4,50,0,0,0,0,50
805,-64,0,0,31,0,11,12,4,40,0,0,0,0,40
806,-128,1,0,56,0,6,-76,4,48,0,0,0,0,48
807,-32,1,0,56,0,6,-76,4,50,0,0,0,0,50
808,-64,1,0,56,0,6,12,4,40,0,0,0,0,40
809,-128,0,1,29,0,6,-76,4,48,0,0,0,0,48
810,-32,0,1,29,0,6,-76,4,50,0,0,0,0,50
811,-64,0,1,29,0,6,12,4,40,0,0,0,0,40
812,32,1,0,64,0,11,120,4,20,0,0,0,0,20
813,-32,1,0,64,0,11,-112,2,48,2,2,2,2,48
814,-36,1,0,64,0,11,108,1,48,2,1,2,2,48
815,32,0,1,41,0,16,120,4,20,0,0,0,0,20
816,-32,0,1,41,0,16,-112,2,48,2,2,2,2,48
817,-36,0,1,41,0,16,108,1,48,2,1,2,2,48
818,32,0,1,36,1,20,120,4,20,0,0,0,0,20
819,-32,0,1,36,1,20,-112,2,48,2,2,2,2,48
820,-36,0,1,36,1,20,108,1,48,2,1,2,2,48
821,32,0,1,35,0,18,120,4,20,0,0,0,0,20
822,-32,0,1,35,0,18,-112,2,48,2,2,2,2,48
823,-36,0,1,35,0,18,108,1,48,2,1,2,2,48
824,-32,1,1,51,0,11,30,1,48,2,1,1,2,48
825,-18,1,1,47,0,6,72,1,48,2,1,1,2,48
826,-128,1,1,46,1,16,48,4,48,0,0,0,0,48
827,-128,0,0,47,1,14,48,4,48,0,0,0,0,48
828,-96,1,1,25,1,11,44,4,50,0,0,0,0,50
829,-96,0,0,22,1,11,44,4,50,0,0,0,0,50
830,-96,0,0,44,0,5,44,4,50,0,0,0,0,50
831,-18,1,1,63,1,11,4,1,48,2,2,2,2,48
832,-128,1,1,63,1,11,31,1,48,1,1,1,2,48
833,-18,0,0,53,1,11,4,1,48,2,2,2,2,48
834,-128,0,0,53,1,11,31,1,48,1,1,1,2,48
835,-18,0,0,28,0,15,4,1,48,2,2,2,2,48
836,-128,0,0,28,0,15,31,1,48,1,1,1,2,48
837,-18,0,1,25,1,13,4,1,48,2,2,2,2,48
838,-128,0,1,25,1,13,31,1,48,1,1,1,2,48
839,-36,1,0,23,1,15,30,1,48,2,2,2,2,48
840,-18,1,0,23,1,15,-124,1,48,2,2,2,2,48
841,-36,0,1,30,1,13,30,1,48,2,2,2,2,48
842,-18,0,1,30,1,13,-124,1,48,2,2,2,2,48
843,-36,0,0,57,0,19,30,1,48,2,2,2,2,48
844,-18,0,0,57,0,19,-124,1,48,2,2,2,2,48
845,64,1,1,39,0,11,60,4,48,0,0,0,0,48
846,-48,1,0,65,0,6,120,4,24,0,0,0,0,24
847,-48,0,1,57,0,8,120,4,24,0,0,0,0,24
848,-18,1,1,28,1,11,24,1,48,2,1,2,2,48
849,-18,0,0,28,1,11,24,1,48,2,1,2,2,48
850,64,1,1,52,1,11,120,5,60,0,0,0,0,60
851,-32,1,1,52,1,11,-122,1,48,2,1,1,2,48
852,-16,1,1,52,1,11,6,1,48,2,2,2,2,48
853,-128,1,1,52,1,11,60,4,57,0,0,0,0,57
854,64,0,0,42,1,7,120,5,60,0,0,0,0,60
855,-32,0,0,42,1,7,-122,1,48,2,1,1,2,48
856,-16,0,0,42,1,7,6,1,48,2,2,2,2,48
857,-128,0,0,42,1,7,60,4,57,0,0,0,0,57
858,64,0,1,22,0,7,120,5,60,0,0,0,0,60
859,-32,0,1,22,0,7,-122,1,48,2,1,1,2,48
860,-16,0,1,22,0,7,6,1,48,2,2,2,2,48
861,-128,0,1,22,0,7,60,4,57,0,0,0,0,57
862,64,0,1,76,1,3,120,5,60,0,0,0,0,60
863,-32,0,1,76,1,3,-122,1,48,2,1,1,2,48
864,-16,0,1,76,1,3,6,1,48,2,2,2,2,48
865,-128,0,1,76,1,3,60,4,57,0,0,0,0,57
866,64,0,0,54,1,5,120,5,60,0,0,0,0,60
867,-32,0,0,54,1,5,-122,1,48,2,1,1,2,48
868,-16,0,0,54,1,5,6,1,48,2,2,2,2,48
869,-128,0,0,54,1,5,60,4,57,0,0,0,0,57
870,0,1,0,25,1,12,96,1,48,2,1,1,2,48
871,0,0,1,32,1,13,96,1,48,2,1,1,2,48
872,16,1,0,32,1,15,12,2,48,2,1,2,2,48
873,64,1,0,32,1,15,60,1,60,2,1,2,2,60
874,16,0,1,27,1,13,12,2,48,2,1,2,2,48
875,64,0,1,27,1,13,60,1,60,2,1,2,2,60
876,0,1,1,51,0,14,96,4,30,0,0,0,0,30
877,0,0,0,88,0,5,96,4,30,0,0,0,0,30
878,-32,1,1,36,1,11,3,1,48,2,1,1,2,48
879,-32,1,1,36,1,11,6,1,48,2,1,1,2,48
880,-32,0,0,34,1,11,3,1,48,2,1,1,2,48
881,-32,0,0,34,1,11,6,1,48,2,1,1,2,48
882,-32,0,0,64,0,3,3,1,48,2,1,1,2,48
883,-32,0,0,64,0,3,6,1,48,2,1,1,2,48
884,-32,1,1,35,1,11,12,1,60,2,2,2,2,60
885,-32,0,0,35,1,13,12,1,60,2,2,2,2,60
886,-128,1,1,59,1,11,-32,5,60,0,0,0,0,60
887,64,1,1,59,1,11,14,4,40,0,0,0,0,40
888,16,1,1,59,1,11,36,1,48,2,1,1,2,48
889,0,1,1,59,1,11,48,4,50,0,0,0,0,50
890,-128,0,0,55,1,3,-32,5,60,0,0,0,0,60
891,64,0,0,55,1,3,14,4,40,0,0,0,0,40
892,16,0,0,55,1,3,36,1,48,2,1,1,2,48
893,0,0,0,55,1,3,48,4,50,0,0,0,0,50
894,-128,0,0,26,0,11,-32,5,60,0,0,0,0,60
895,64,0,0,26,0,11,14,4,40,0,0,0,0,40
896,16,0,0,26,0,11,36,1,48,2,1,1,2,48
897,0,0,0,26,0,11,48,4,50,0,0,0,0,50
898,-128,0,1,19,0,10,-32,5,60,0,0,0,0,60
899,64,0,1,19,0,10,14,4,40,0,0,0,0,40
900,16,0,1,19,0,10,36,1,48,2,1,1,2,48
901,0,0,1,19,0,10,48,4,50,0,0,0,0,50
902,32,1,1,41,1,7,48,1,48,2,2,2,2,48
903,32,0,0,43,1,11,48,1,48,2,2,2,2,48
904,-128,1,1,45,1,11,10,1,49,2,2,2,2,49
905,-128,0,0,55,1,11,10,1,49,2,2,2,2,49
906,-128,0,0,25,0,11,10,1,49,2,2,2,2,49
907,-128,0,1,20,0,11,10,1,49,2,2,2,2,49
908,-64,1,1,71,1,11,-32,4,40,0,0,0,0,40
909,-128,1,1,71,1,11,-76,4,10,0,0,0,0,10
910,-32,1,1,71,1,11,-16,4,60,0,0,0,0,60
911,-64,0,0,71,1,5,-32,4,40,0,0,0,0,40
912,-128,0,0,71,1,5,-76,4,10,0,0,0,0,10
913,-32,0,0,71,1,5,-16,4,60,0,0,0,0,60
914,-64,0,0,61,0,6,-32,4,40,0,0,0,0,40
915,-128,0,0,61,0,6,-76,4,10,0,0,0,0,10
916,-32,0,0,61,0,6,-16,4,60,0,0,0,0,60
917,-64,0,1,41,0,5,-32,4,40,0,0,0,0,40
918,-128,0,1,41,0,5,-76,4,10,0,0,0,0,10
919,-32,0,1,41,0,5,-16,4,60,0,0,0,0,60
920,64,1,1,39,1,16,48,1,48,2,2,2,2,48
921,64,0,0,34,1,11,48,1,48,2,2,2,2,48
922,-32,1,1,23,0,11,2,4,48,0,0,0,0,48
923,64,1,1,23,0,11,3,1,45,2,2,2,2,45
924,0,1,1,23,0,11,20,4,48,0,0,0,0,48
925,-96,1,1,23,0,11,3,4,56,0,0,0,0,56
926,-32,0,0,39,1,9,2,4,48,0,0,0,0,48
927,64,0,0,39,1,9,3,1,45,2,2,2,2,45
928,0,0,0,39,1,9,20,4,48,0,0,0,0,48
929,-96,0,0,39,1,9,3,4,56,0,0,0,0,56
930,-32,0,1,43,1,4,2,4,48,0,0,0,0,48
931,64,0,1,43,1,4,3,1,45,2,2,2,2,45
932,0,0,1,43,1,4,20,4,48,0,0,0,0,48
933,-96,0,1,43,1,4,3,4,56,0,0,0,0,56
934,-32,0,1,24,0,10,2,4,48,0,0,0,0,48
935,64,0,1,24,0,10,3,1,45,2,2,2,2,45
936,0,0,1,24,0,10,20,4,48,0,0,0,0,48
937,-96,0,1,24,0,10,3,4,56,0,0,0,0,56
938,-128,1,1,40,1,17,114,2,48,2,2,2,2,48
939,64,1,1,40,1,17,3,1,48,2,1,1,2,48
940,-128,0,0,39,1,16,114,2,48,2,2,2,2,48
941,64,0,0,39,1,16,3,1,48,2,1,1,2,48
942,0,1,0,80,1,3,120,4,60,0,0,0,0,60
943,-16,1,0,80,1,3,120,4,10,0,0,0,0,10
944,96,1,0,80,1,3,6,4,20,0,0,0,0,20
945,64,1,0,80,1,3,18,1,48,2,2,2,2,48
